"nsrsbh","nsrmc","kjzdzz_dm","kjzdzz_bdmc","ssqq","ssqz","zcxmmc","ewbhxh","qmye_zc","ncye_zc","qyxmmc","qmye_qy","ncye_qy","ncs_qy","qms_qy","ncs_zc","qms_zc","updata_time"
"91340100MA2RQTK038",合肥嘉策信息技术服务有限公司,"102",小企业会计准则,"2025-01-01","2025-03-31",减:累计折旧,"20",74418.47,62757.13,"",,,,,62757.13,74418.47,"2025-12-30 09:01:09"
"91340100MA2RQTK038",合肥嘉策信息技术服务有限公司,"102",null,"2025-04-01","2025-06-30",其他应收款,"8",3550.4,1269.24,应付利润,0.0,0.0,0.0,0.0,1269.24,3550.4,"2025-12-30 09:01:09"
"91340100MA2RQTK038",合肥嘉策信息技术服务有限公司,"102",小企业会计准则,"2024-07-01","2024-09-30",生产性生物资产,"25",0.0,0.0,"",,,,,0.0,0.0,"2025-12-30 09:01:09"
"91340100MA2RQTK038",合肥嘉策信息技术服务有限公司,"102",小企业会计准则,"2025-01-01","2025-03-31",长期债券投资,"17",0.0,0.0,非流动负债合计,-5770.58,0.0,0.0,-5770.58,0.0,0.0,"2025-12-30 09:01:09"
"91340100MA2RQTK038",合肥嘉策信息技术服务有限公司,"102",小企业会计准则,"2023-01-01","2023-12-31",其他流动资产,"14",0.0,0.0,长期应付款,0.0,0.0,0.0,0.0,0.0,0.0,"2025-12-30 09:01:09"
"91340100MA2RQTK038",合肥嘉策信息技术服务有限公司,"102",小企业会计准则,"2023-01-01","2023-12-31",周转材料,"13",0.0,0.0,长期借款,0.0,0.0,0.0,0.0,0.0,0.0,"2025-12-30 09:01:09"
"91340100MA2RQTK038",合肥嘉策信息技术服务有限公司,"102",小企业会计准则,"2024-01-01","2024-03-31",工程物资,"23",0.0,0.0,"",,,,,0.0,0.0,"2025-12-30 09:01:09"
"91340100MA2RQTK038",合肥嘉策信息技术服务有限公司,"102",小企业会计准则,"2024-04-01","2024-06-30",应收票据,"3",0.0,0.0,应付账款,321427.67,638334.87,638334.87,321427.67,0.0,0.0,"2025-12-30 09:01:09"
"91340100MA2RQTK038",合肥嘉策信息技术服务有限公司,"102",小企业会计准则,"2024-01-01","2024-12-31",长期债券投资,"17",0.0,0.0,非流动负债合计,0.0,0.0,0.0,0.0,0.0,0.0,"2025-12-30 09:01:09"
"91340100MA2RQTK038",合肥嘉策信息技术服务有限公司,"102",小企业会计准则,"2025-07-01","2025-09-30",短期投资,"2",1.0,1.0,应付票据,0.0,0.0,0.0,0.0,1.0,1.0,"2025-12-30 09:01:09"
